SYPTCODE,SYPTSERL,SYPTSMTP,SYPTPRTM,SYPTCHCO,SYPTGNDT
C0025218,0,Disease or Syndrome,Chloasma,Melasma,20070305
C0025222,0,finding                            ,Melena                                    ,melena                                  ,20040507
C0025222,1,Pathologic Function,Melena,혈변,20070305
C0025222,2,Pathologic Function,Melena,Altered blood in stool,20070305
C0025222,3,Pathologic Function,Melena,BLACK STOOL,20070305
C0025222,4,Pathologic Function,Melena,Tarry Stool,20070305
C0025222,5,Pathologic Function,Melena,변에 피 섞여나옴,20070305
C0025222,6,Pathologic Function,Melena,contacted for melena,20070305
C0025222,7,Pathologic Function,Melena,dark color stool,20070305
C0025222,8,Pathologic Function,Melena,Dark Stool,20070305
C0025222,9,Pathologic Function,Melena,for evaluation of melena,20070305
C0025222,10,Pathologic Function,Melena,대변에 피가 나왔다,20070305
C0025222,11,Pathologic Function,Melena,변이 까맣다,20070305
C0025239,0,Disease or Syndrome,Melorheostosis,유선상과골증,20070305
C0025260,0,Mental Process,Memory,Memory function (observable entity),20070305
C0025261,0,Mental or Behavioral Dysfunction,Memory Disorders,"Retention Disorders, Cognitive",20070305
C0025261,1,Mental or Behavioral Dysfunction,Memory Disorders,memory disorder,20070305
C0025265,0,Mental Process,"Memory, Short-Term",Short term memory,20070305
C0025274,0,Organism Function,Menarche,첫월경,20070305
C0025274,1,Organism Function,Menarche,Menarche (finding),20070305
C0025284,0,Neoplastic Process,Meningeal Neoplasms,Other of Meninges Cerebral,20070305
C0025287,0,Sign or Symptom,Meningism,Meningeal Irritation Sign,20070305
C0025287,1,Sign or Symptom,Meningism,Meningeal Sign,20070305
C0025287,2,Sign or Symptom,Meningism,Meningismus,20070305
C0025289,0,Disease or Syndrome,Meningitis,for evaluation of meningitis,20070305
C0025292,0,Disease or Syndrome,"Meningitis, Haemophilus",Hemophilus Meningitis,20070305
C0025294,0,Disease or Syndrome,Meningococcal meningitis,Meningococcal meningitis (disorder),20070305
C0025295,0,Disease or Syndrome,"Meningitis, Pneumococcal",Pneumococcal Meningitis,20070305
C0025303,0,Disease or Syndrome,Meningococcal Infections,Meningococcal Infection,20070305
C0025306,0,Disease or Syndrome,"Meningococcemia, unspecified",Meningococcemia,20070305
C0025309,0,Disease or Syndrome,Meningoencephalitis,Uveomeningoencephalitic Syndrome,20070305
C0025312,0,Congenital Abnormality,Meningomyelocele,수막척수류,20070305
C0025312,1,Congenital Abnormality,Meningomyelocele,Terminal Myelocystocele,20070305
C0025312,2,Congenital Abnormality,Meningomyelocele,Meningomyelocele NOS (disorder),20070305
C0025312,3,Congenital Abnormality,Meningomyelocele,Syringomyelomeningocele,20070305
C0025319,0,Disease or Syndrome,Menopausal syndrome,Postmenopausal Syndrome,20070305
C0025320,0,Physiologic Function,Menopause,폐경기,20070305
C0025320,1,Physiologic Function,Menopause,Menopause State,20070305
C0025320,2,Physiologic Function,Menopause,"Menopause, function (observable entity)",20070305
C0025322,0,Disease or Syndrome,"Menopause, Premature",Premature Menopause,20070305
C0025323,0,Pathologic Function,Menorrhagia,Hypermenorrhea,20070305
C0025323,1,Pathologic Function,Menorrhagia,for menorrhagia,20070305
C0025323,2,Pathologic Function,Menorrhagia,menstrual bleeding,20070305
C0025344,0,Organism Function,Menstruation,PD - Menstruation,20070305
C0025344,1,Organism Function,Menstruation,mens - mensturation,20070305
C0025345,0,Pathologic Function,Menstruation Disturbances,Menstrual abn.,20070305
C0025345,1,Pathologic Function,Menstruation Disturbances,"Menstruation, Abnormal",20070305
C0025345,2,Pathologic Function,Menstruation Disturbances,Menstruational Disorder,20070305
C0025345,3,Pathologic Function,Menstruation Disturbances,Unspecified Type of Menstrual Disoder,20070305
C0025361,0,Mental Process,Mental Processes,"Form of thinking, function (observable entity)",20070305
C0025361,1,Mental Process,Mental processes,"Thought form, process",20070305
C0025362,0,Mental or Behavioral Dysfunction,Mental Retardation,정신지체장애,20050610
C0025362,1,Mental or Behavioral Dysfunction,Mental Retardation,정신지체,20070305
C0025362,2,Mental or Behavioral Dysfunction,Mental Retardation,정신지체장애,20070305
C0025362,3,Mental or Behavioral Dysfunction,Mental Retardation,"Mental Retardation, Not Otherwise Specified",20070305
C0025362,4,Mental or Behavioral Dysfunction,Mental Retardation,MR - Mental Retardation,20070305
C0025362,5,Mental or Behavioral Dysfunction,Mental Retardation,MR aggr.,20070305
C0025362,6,Mental or Behavioral Dysfunction,Mental Retardation,"Retardation, Psychomotor Function",20070305
C0025424,0,Hazardous or Poisonous Substance,Mercury,Mercury (substance),20070305
C0025427,0,Injury or Poisoning,Mercury Poisoning,Feer,20070305
C0025462,0,"Body Part, Organ, or Organ Component",Midbrain structure,Midbrain,20070305
C0025467,0,Congenital Abnormality,Mesenteric Cyst,장간막낭,20070305
C0025467,1,Congenital Abnormality,Mesenteric Cyst,mesenteric mass,20070305
C0025467,2,Congenital Abnormality,Mesenteric Cyst,Mesenteric cyst (disorder),20070305
C0025474,0,Body Location or Region,Mesentery,장간막,20070305
C0025474,1,Body Location or Region,Mesentery,mesenteric,20070305
C0025483,0,"Body Part, Organ, or Organ Component",Mesocolon,결장간막,20070305
C0025500,0,Neoplastic Process,Mesothelioma,for mesothelioma evaluation,20070305
C0025517,0,Disease or Syndrome,Metabolic Diseases,Metabolic Derangement,20070305
C0025517,1,Disease or Syndrome,Metabolic Diseases,metabolic disorder,20070305
C0025517,2,Disease or Syndrome,Metabolic Diseases,for evalution of metabolic disorder,20070305
C0025517,3,Disease or Syndrome,Metabolic Diseases,Metabolic disease (disorder),20070305
C0025517,4,Disease or Syndrome,Metabolic Diseases,Metabolic Disease,20070305
C0025525,0,Body Space or Junction,Metacarpophalangeal joint structure,MCP - Metacarpophalangeal joint,20070305
C0025530,0,Disease or Syndrome,Metagonimiasis,Metagonimus Υokogawai Infection,20070305
C0025552,0,Inorganic Chemical,Metals,"Metal (element, substance) (substance)",20070305
C0025552,1,Inorganic Chemical,Metals,metal,20070305
C0025587,0,Sign or Symptom,Metatarsalgia,Metatarsalgia,20120213
C0025663,0,Intellectual Product,Methods,법,20070305
C0025663,1,Intellectual Product,Methods,method,20070305
C0025677,0,Organic Chemical,Methotrexate,MTX - Methotrexate,20070305
C0025746,0,"Indicator, Reagent, or Diagnostic Aid",Methylene blue,Mb - Methylene blue,20070305
C0025874,0,Pathologic Function,Metrorrhagia,disfunctional uterine bleeding,20070305
C0025874,1,Pathologic Function,Metrorrhagia,INTERMENSTRUAL BLEEDING,20070305
C0025874,2,Pathologic Function,Metrorrhagia,Dysfunctional uterine bleeding (finding),20070305
C0025874,3,Pathologic Function,Metrorrhagia,DUB-dysfunctional uterine bleeding,20070305
C0025945,0,Disease or Syndrome,"Microangiopathy, Diabetic",Small vessel disease of diabetes mellitus,20070305
C0025958,0,Congenital Abnormality,Microcephaly,evaluation of microcephaly,20070305
C0025988,0,Congenital Abnormality,Microglossia,Microglossia (disorder),20070305
C0025990,0,Congenital Abnormality,Micrognathism,Small Jaw,20070305
C0025990,1,Congenital Abnormality,Micrognathism,"Undergrowth, Jaw",20070305
C0025990,2,Congenital abnormality,Micrognathism,Micrognathia,20070305
C0026010,0,Congenital Abnormality,Microphthalmos,Nanophthalmos,20070305
C0026010,1,Congenital Abnormality,Microphthalmos,Small eyeball,20070305
C0026010,2,Congenital Abnormality,Microphthalmos,Microphthalmia,20070305
C0026010,3,Congenital Abnormality,Microphthalmos,Small Eye,20070305
C0026019,0,Laboratory Procedure,Electron Microscopy,EM-Electron Microscopy,20070305
C0026113,0,Disease or Syndrome,Miliaria,Miliaria (Neonatal Disease),20070305
C0026131,0,Body Substance,Milk,Milk (substance),20070305
C0026140,0,Body Substance,"Milk, Human",Breast milk (substance),20070305
C0026140,1,Body Substance,"Milk, Human",milk,20070305
C0026156,0,Lipid,Mineral Oil,mineral,20070305
C0026162,0,Inorganic Chemical,Minerals,광물질,20070305
C0026162,1,Inorganic Chemical,Minerals,무기염류,20070305
C0026196,0,Organic Chemical,Minoxidil,Minoxidil (product),20070305
C0026205,0,Finding,Miosis disorder,Miosis,20070305
C0026207,0,Pharmacologic Substance,Miotics,Miotic (product),20070305
C0026229,0,Disease or Syndrome,Mite Infestations,Mite Infestation,20070305
C0026264,0,"Body Part, Organ, or Organ Component",Mitral valve,왼방실판막,20070305
C0026264,1,"Body part, organ or organ component",Mitral valve,MV,20070305
C0026265,0,Disease or Syndrome,Mitral Valvular Disease,Mitral Valve Disease,20070305
C0026265,1,Disease or Syndrome,Mitral Valvular Disease,Diseases of mitral valve,20070305
C0026266,0,Disease or Syndrome,Mitral Valve Insufficiency,Mitral Regurgitation,20070305
C0026266,1,Disease or Syndrome,Mitral Valve Insufficiency,Mitral valve regurgitation (disorder),20070305
C0026266,2,Disease or Syndrome,Mitral Valve Insufficiency,MR-Mitral valve Regurgitation,20070305
C0026266,3,Disease or Syndrome,Mitral Valve Insufficiency,severe mitral valve regurgitation,20070305
C0026266,4,Disease or Syndrome,Mitral Valve Insufficiency,for mitral regurgitation operation,20070305
C0026267,0,Disease or Syndrome,Mitral valve prolapse,Mitral Valvular Prolapse,20070305
C0026267,1,Disease or Syndrome,Mitral valve prolapse,for prolapse of mitral valve,20070305
C0026267,2,Disease or Syndrome,Mitral valve prolapse,MVP - Mitral Valve Prolapse,20070305
C0026267,3,Disease or Syndrome,Mitral valve prolapse,Mitral valve prolapse (disorder),20070305
C0026268,0,Therapeutic or Preventive Procedure,Mitral valve replacement NOS,for mitral valve replacement,20070305
C0026268,1,Therapeutic or Preventive Procedure,Mitral valve replacement NOS,for MVR-mitral valve replacement,20070305
C0026268,2,Disease or Syndrome,Mitral valve replacement NOS,Replacement Of Mitral Valve,20070305
C0026269,0,Disease or Syndrome,Mitral Valve Stenosis,Mitral valve stenosis (disorder),20070305
C0026269,1,Disease or Syndrome,Mitral Valve Stenosis,MS - Mitral Valve Stenosis,20070305
C0026269,2,Disease or Syndrome,Mitral Valve Stenosis,Mitral Stenosis,20070305
C0026269,3,Disease or Syndrome,Mitral Valve Stenosis,for mitral stenosis evaluation,20070305
C0026272,0,Disease or syndrome,Mixed Connective Tissue Disease,known MCTD,20070305
C0026272,1,Disease or syndrome,Mixed Connective Tissue Disease,MCTD - Mixed connective tissue disease,20070305
C0026277,0,Neoplastic Process,Mixed Salivary Gland Tumor,"Adenoma, Pleomorphic",20070305
C0026277,1,Neoplastic Process,Mixed Salivary Gland Tumor,Chondroid syringoma,20070305
C0026277,2,Neoplastic Process,Mixed Salivary Gland Tumor,Pleomorphic Adenoma,20070305
C0026351,0,Mental or Behavioral Dysfunction,Moderate Mental Retardation,중등도정신늦됨,20070305
C0026367,0,"Body part, organ or organ component",Molar tooth,어금니,20070305
C0026367,1,"Body part, organ or organ component",Molar tooth,Molar,20070305
C0026369,0,"Body part, organ or organ component",Structure of wisdom tooth,사랑니,20070305
C0026369,1,"Body part, organ or organ component",Structure of wisdom tooth,Third molar,20070305
C0026369,2,"Body Part, Organ, or Organ Component",Structure of wisdom tooth,"Tooth, Wisdom",20070305
C0026369,3,"Body part, organ or organ component",Structure of wisdom tooth,Widsom tooth,20070305
C0026393,0,Disease or Syndrome,Molluscum Contagiosum,전염물렁종,20070305
C0026393,1,Disease or Syndrome,Molluscum Contagiosum,"Conjunctivitis, Molluscum Contagiosum",20070305
C0026505,0,Congenital Abnormality,Monsters,괴물,20070305
C0026508,0,Injury or Poisoning,Monteggia's Fracture,Monteggia Fracture Dislocation,20070305
C0026508,1,Injury or Poisoning,Monteggia's Fracture,"Fracture, Monteggia",20070305
C0026591,0,Family Group,Mothers,maternal,20070305
C0026591,1,Family Group,Mothers,모친,20070305
C0026591,2,Family Group,Mothers,mother,20070305
C0026591,3,Family Group,Mothers,Mother (person),20070305
C0026597,0,Natural phenomenon or process,Motion,가동성,20070305
C0026597,1,Natural Phenomenon or Process,Motion,Motion (physical force),20070305
C0026597,2,Natural phenomenon or process,Motion,On motion,20070305
C0026603,0,Disease or Syndrome,Motion sickness,Motion sickness NOS (disorder),20070305
C0026605,0,Mental Process,Motivation,의욕유발,20070305
C0026605,1,Mental Process,Motivation,동인,20070305
C0026605,2,Mental Process,Motivation,Motivation finding (finding),20070305
C0026606,0,Daily or Recreational Activity,Physical activity,"Motor behavior, function (observable entity)",20070305
C0026606,1,Daily or Recreational Activity,Physical Activity,ACTIVITY,20070305
C0026608,0,Cell Component,Motor Endplate,운동종말판,20070305
C0026608,1,Cell Component,Motor Endplate,endplate,20070305
C0026633,0,Congenital Abnormality,Mouth Abnormalities,"Anomaly, mouth",20070305
C0026633,1,Disease or Syndrome,Mouth Abnormalities,Mouth Anomaly,20070305
C0026633,2,Disease or Syndrome,Mouth Abnormalities,Stomatognathic Anomaly,20070305
C0026633,3,Congenital Abnormality,Mouth Abnormalities,mouth anomality,20070305
C0026635,0,Sign or Symptom,Mouth Breathing,"Breathing, Mouth",20070305
C0026636,0,Disease or Syndrome,Mouth Diseases,Stomatognathic Disease,20070305
C0026636,1,Disease or Syndrome,Mouth Diseases,Mouth Disease,20070305
C0026636,2,Disease or Syndrome,Mouth Diseases,Oral Cavity and Tooth Disease,20070305
C0026638,0,Body location or region,Floor of Mouth,Mouth floor,20070305
C0026639,0,"Body Part, Organ, or Organ Component",Oral mucous membrane structure,Buccal mucosa (body structure),20070305
C0026639,1,"Body part, organ or organ component",Oral mucous membrane structure,Mouth mucosa,20070305
C0026639,2,"Body Part, Organ, or Organ Component",Oral mucous membrane structure,oral mucosa,20070305
C0026640,0,Neoplastic Process,Mouth Neoplasms,Neoplasm of Oral Cavity,20070305
C0026640,1,Neoplastic Process,Mouth Neoplasms,Oral Neoplasm,20070305
C0026647,0,Biomedical or Dental Material,Mouthwash,Gargle,20070305
C0026649,0,Organism Function,Movement,movements,20070305
C0026649,1,Organism Function,Movement,On movement,20070305
C0026650,0,Disease or Syndrome,Movement Disorders,Movement Disorder,20070305
C0026650,1,Disease or Syndrome,Movement Disorders,Other Movement Disorder,20070305
C0026650,2,Disease or Syndrome,Movement Disorders,"Abnormal Movement, Leg",20070305
C0026652,0,Therapeutic or Preventive Procedure,Moxibustion,부황,20070305
C0026652,1,Therapeutic or Preventive Procedure,Moxibustion,침뜸,20070305
C0026652,2,Therapeutic or Preventive Procedure,Moxibustion,뜸,20070305
C0026654,0,Disease or Syndrome,Moyamoya Disease,evaluation for moyamoya disease,20070305
C0026654,1,Disease or Syndrome,Moyamoya Disease,status post moyamoya disease,20070305
C0026654,2,Disease or Syndrome,Moyamoya Disease,Moyamoya-Associated Renovascular Hypertension,20070305
C0026654,3,Disease or Syndrome,Moyamoya Disease,Moyamoya ds.,20070305
C0026683,0,Neoplastic Process,Mucocele,Mucous Cyst,20070305
C0026684,0,Disease or Syndrome,Mucocele of appendix,"mucocele, appendix",20070305
C0026684,1,Disease or Syndrome,Mucocele of appendix,Appendiceal Mucocele,20070305
C0026686,0,Anatomical Abnormality,Mucocele of salivary gland,하마종,20070305
C0026686,1,Disease or Syndrome,Mucocele of salivary gland,Ranula,20070305
C0026686,2,Disease or Syndrome,Mucocele of salivary gland,Ranula (disorder),20070305
C0026686,3,Disease or Syndrome,Mucocele of salivary gland,"Cystic Lesion, Salivary Gland",20070305
C0026691,0,Disease or Syndrome,Mucocutaneous Lymph Node Syndrome,Kawasaki Disease,20070305
C0026691,1,Disease or Syndrome,Mucocutaneous Lymph Node Syndrome,Kawasaki's Disease,20070305
C0026691,2,Disease or Syndrome,Mucocutaneous Lymph Node Syndrome,evaluation of kawasaki ds,20070305
C0026691,3,Disease or Syndrome,Mucocutaneous Lymph Node Syndrome,for kawasaki disease evaluation,20070305
C0026691,4,Disease or Syndrome,Mucocutaneous Lymph Node Syndrome,Myocardial Ischemia Associated With Kawasaki Disease,20070305
C0026691,5,Disease or Syndrome,Mucocutaneous Lymph Node Syndrome,evaluation of kawasaki's disease,20070305
C0026691,6,Disease or Syndrome,Mucocutaneous Lymph Node Syndrome,Pericarditis in Kawasaki Disease,20070305
C0026691,7,Disease or Syndrome,Mucocutaneous Lymph Node Syndrome,MCLD,20070305
C0026697,0,Disease or Syndrome,Mucolipidoses,Mucolipidosis,20070305
C0026698,0,Pharmacologic Substance,Mucolytic Agents,mucolytics,20070305
C0026703,0,Disease or Syndrome,Mucopolysaccharidoses,Mucopolysaccharidosis,20070305
C0026705,0,Disease or Syndrome,Mucopolysaccharidosis II,Hunter Disease,20070305
C0026706,0,Disease or Syndrome,Mucopolysaccharidosis III,Sanfilippo  Disease,20070305
C0026707,0,Disease or Syndrome,Mucopolysaccharidosis IV,Osteochondrodysplasia,20070305
C0026708,0,Disease or Syndrome,Mucopolysaccharidosis V,Scheie Disease,20070305
C0026708,1,Disease or Syndrome,Scheie's Syndrome,"Mucopolysaccharidosis, MPS-I-S (disorder)",20070305
C0026709,0,Disease or Syndrome,Mucopolysaccharidosis VI,Maroteaux-Lamy Disease,20070305
C0026724,0,Tissue,Mucous Membrane,mucosa,20070305
C0026724,1,Tissue,Mucous Membrane,mucosal,20070305
C0026727,0,Body substance,Mucous body substance,Mucus,20070305
C0026727,1,Body Substance,Mucous body substance,Mucus (substance),20070305
C0026764,0,Neoplastic Process,Multiple myeloma,다발성 골수종,20050610
C0026764,1,Neoplastic Process,Multiple Myeloma,다발성골수종,20070305
C0026764,2,Neoplastic Process,Multiple Myeloma,Myeloma,20070305
C0026764,3,Neoplastic Process,Multiple Myeloma,for evaluation of MM-multiple myeloma,20070305
C0026764,4,Neoplastic Process,Multiple Myeloma,Multiple Myeloma of Spine,20070305
C0026764,5,Neoplastic Process,Multiple Myeloma,Other Type Myeloma,20070305
C0026764,6,Neoplastic Process,Multiple Myeloma,MM recur,20070305
C0026764,7,Neoplastic Process,Multiple Myeloma,MM - Multiple Myeloma,20070305
C0026764,8,Neoplastic Process,Multiple Myeloma,for evaluation of multiple myeloma,20070305
C0026769,0,Disease or Syndrome,Multiple Sclerosis,MS - Multiple Stenosis,20070305
C0026769,1,Disease or Syndrome,Multiple Sclerosis,MS - Multiple Sclerosis,20070305
C0026769,2,Disease or Syndrome,Multiple Sclerosis,Multiple Sclerosis in Conjunction With Peripheral Neuropathy,20070305
C0026769,3,Disease or Syndrome,Multiple Sclerosis,Multiple sclerosis NOS (disorder),20070305
C0026773,0,Mental or Behavioral Dysfunction,Multiple Personality Disorder,Dissociative Identity Disorder,20070305
C0026773,1,Mental or Behavioral Dysfunction,Multiple Personality Disorder,Multiple personality disorder (disorder),20070305
C0026773,2,Mental or Behavioral Dysfunction,Multiple Personality Disorder,Dissociative identity,20070305
C0026780,0,Disease or syndromes               ,Mumps                                     ,mumps                                   ,20040507
C0026780,1,Disease or Syndrome,Mumps,유행귀밑샘염,20070305
C0026780,2,Disease or Syndrome,Mumps,Mumps (disorder),20070305
C0026820,0,Organ or Tissue Function,Muscle Contraction,"Muscle contraction, function (observable entity)",20070305
C0026821,0,Sign or Symptom,Muscle Cramp,근경련,20070305
C0026821,1,Sign or Symptom,Muscle Cramp,쥐가 나는 듯하다,20070305
C0026821,2,Sign or Symptom,Muscle Cramp,쥐가 난다,20070305
C0026821,3,Sign or Symptom,Muscle Cramp,Muscle cramping,20070305
C0026821,4,Sign or Symptom,Muscle Cramp,"Cramping, Muscle",20070305
C0026821,5,Sign or Symptom,Muscle Cramp,Cramp (finding),20070305
C0026825,0,Sign or Symptom,Flaccid Muscle Tone,"Flaccidity, Muscle",20070305
C0026826,0,Sign or Symptom,Muscle Hypertonia,High muscle tone,20070305
C0026826,1,Sign or Symptom,Muscle Hypertonia,Increased muscle tone (finding),20070305
C0026826,2,Sign or Symptom,Muscle Hypertonia,Muscular hypertonicity (disorder),20070305
C0026826,3,Sign or Symptom,Muscle Hypertonia,"Difficulty, Relaxation",20070305
C0026827,0,Sign or Symptom,Muscle hypotonia,Hypomyotonia,20070305
C0026827,1,Sign or Symptom,Muscle hypotonia,"Muscle Power, Decreased",20070305
C0026827,2,Sign or Symptom,Muscle hypotonia,Muscle relaxation,20070305
C0026827,3,Sign or Symptom,Muscle hypotonia,"Muscle Tone, Decreased",20070305
C0026827,4,Sign or Symptom,Muscle hypotonia,Decreased muscle tone (finding),20070305
C0026827,5,Sign or Symptom,Muscle hypotonia,Hypotonia,20070305
C0026837,0,Sign or Symptom,Muscle Rigidity,Muscle hardness,20070305
C0026837,1,Sign or Symptom,Muscle Rigidity,Rigor,20070305
C0026837,2,Sign or Symptom,Muscle Rigidity,wholebody rigidity,20070305
C0026837,3,Sign or Symptom,Muscle Rigidity,for evaluation rigidity,20070305
C0026837,4,Sign or Symptom,Muscle Rigidity,leg rigidity,20070305
C0026837,5,Sign or Symptom,Muscle Rigidity,Muscle rigidity (finding),20070305
C0026837,6,Sign or Symptom,Muscle Rigidity,right side muscle rigidity,20070305
C0026837,7,Sign or Symptom,Muscle Rigidity,right side rigidity,20070305
C0026837,8,Sign or Symptom,Muscle Rigidity,rigid,20070305
C0026837,9,Sign or Symptom,Muscle Rigidity,Rigidity,20070305
C0026837,10,Sign or Symptom,Muscle Rigidity,"Rigidity, Arm",20070305
C0026837,11,Sign or Symptom,Muscle Rigidity,RT-Rigidity,20070305
C0026837,12,Sign or Symptom,Muscle Rigidity,Rigor (finding),20070305
C0026837,13,Sign or Symptom,Muscle Rigidity,근육이 굳은 것 같다,20070305
C0026838,0,Sign or Symptom,Muscle Spasticity,Spasticity,20070305
C0026838,1,Sign or Symptom,Muscle Spasticity,Spasticity (finding),20070305
C0026841,0,Physiologic Function,Muscle Tonus,Muscle tone,20070305
C0026846,0,Disease or Syndrome,Muscular Atrophy,근위축,20070305
C0026846,1,Disease or Syndrome,Muscular Atrophy,Muscle Wasting,20070305
C0026846,2,Disease or Syndrome,Muscular Atrophy,Muscular Weakness & Wasting,20070305
C0026846,3,Disease or Syndrome,Muscular Atrophy,"Atrophy, Muscle",20070305
C0026847,0,Disease or Syndrome,Spinal Muscular Atrophy,SMA - Spinal muscular atrophy,20070305
C0026848,0,Disease or Syndrome,Myopathy,Other Muscle Disease,20070305
C0026848,1,Disease or Syndrome,Myopathy,"Defect, Muscle",20070305
C0026848,2,Disease or Syndrome,Myopathy,Developmental Disorder of Muscle,20070305
C0026850,0,Congenital Abnormality,Muscular Dystrophies,for progressive muscular dystrophy evaluation,20070305
C0026850,1,Congenital Abnormality,Muscular Dystrophies,for evaluation of progressive muscular dystrophy,20070305
C0026850,2,Disease or Syndrome,Muscular Dystrophies,Muscular Dystrophy,20070305
C0026857,0,Disease or Syndrome,Musculoskeletal Diseases,Disorder of musculoskeletal system (disorder),20070305
C0026857,1,Disease or Syndrome,Musculoskeletal Diseases,Musculoskeletal Disease,20070305
C0026860,0,Body System,Musculoskeletal system,Musculoskeletal structure (body structure),20070305
C0026861,0,Organ or Tissue Function,Musculoskeletal Physiology,Musculoskeletal function (observable entity),20070305
C0026872,0,Food,Mustard (food),Mustard (substance),20070305
C0026884,0,Disease or Syndrome,Mutism,"함구, 무언",20050610
C0026884,1,Disease or Syndrome,Mutism,함구,20070305
C0026884,2,Disease or Syndrome,Mutism,무언,20070305
C0026884,3,Disease or Syndrome,Mutism,Decreased Verbal Output,20070305
C0026896,0,Disease or Syndrome,Myasthenia Gravis,Myasthenia Gravis With Normal Thymus,20070305
C0026896,1,Disease or Syndrome,Myasthenia Gravis,Myasthenia Gravis With Thymic Hyperplasia,20070305
C0026918,0,Disease or Syndrome,Mycobacterium Infections,Mycobacterium Infection,20070305
C0026919,0,Disease or Syndrome,"Mycobacterium Infections, Atypical",Mycobacterium Other Than Tb,20070305
C0026919,1,Disease or Syndrome,"Mycobacterium Infections, Atypical",Atypical Mycobacterial Infection,20070305
C0026926,0,Bacterium,Mycobacterium tuberculosis,MTB - Mycobacterium tuberculosis,20070305
C0026936,0,Disease or Syndrome,Mycoplasma Infections,Mycoplasma Infection,20070305
C0026946,0,Disease or Syndrome,Mycoses,곰팡이병,20070305
C0026946,1,Disease or Syndrome,Mycoses,Fungal Infection,20070305
C0026946,2,Disease or Syndrome,Mycoses,Other Fungal Infection,20070305
C0026948,0,Neoplastic Process,Mycosis Fungoides,Pagetoid Reticulosis,20070305
C0026961,0,Finding,Mydriasis,Pupil dilation,20070305
C0026961,1,Finding,Mydriasis,"Pupil, Increased Size",20070305
C0026961,2,Finding,Mydriasis,Dilated pupil,20070305
C0026961,3,Finding,Mydriasis,"Dilated pupil, function (observable entity)",20070305
C0026961,4,Finding,Mydriasis,Mydriasis Lt.,20070305
C0026961,5,Finding,Mydriasis,"Mydriasis, Rt.",20070305
C0026961,6,Finding,Mydriasis,left eye mydriasis,20070305
C0026976,0,Disease or Syndrome,Transverse Myelitis,"Myelitis, Transverse",20070305
C0026986,0,Neoplastic Process                 ,Myelodysplastic Syndromes                 ,known MDS                               ,20040507
C0026986,1,Neoplastic Process,Dysmyelopoietic Syndromes,myelodysplasia,20070305
C0026986,2,Neoplastic Process,Dysmyelopoietic Syndromes,Myelodysplastic Syndrome,20070305
C0026986,3,Neoplastic Process,Dysmyelopoietic Syndromes,Other Myelodysplastic Syndrome,20070305
C0026986,4,Neoplastic Process,Dysmyelopoietic Syndromes,Preleukemia,20070305
C0026986,5,Neoplastic Process,Dysmyelopoietic Syndromes,RAEB - Refractory anemia with excess blasts,20070305
C0026986,6,Neoplastic Process,Dysmyelopoietic Syndromes,Unspecified Myelodysplastic Syndrome,20070305
C0026987,0,Neoplastic Process,Myelofibrosis,뼈속질섬유증,20070305
C0026987,1,Neoplastic Process,Myelofibrosis,Myelosclerosis,20070305
C0026998,0,Neoplastic Process,"Myeloid Leukemia, Acute, M1","Acute Myeloid Leukemia, M1",20070305
C0026999,0,Neoplastic Process,"Leukemia, Myeloid, Acute, M2","Leukemia, AML, M2",20070305
C0026999,1,Neoplastic Process,"Leukemia, Myeloid, Acute, M2","Acute Myeloid Leukemia, M2",20070305
C0027022,0,Neoplastic Process,Myeloproliferative Disorders,MPDs,20070305
C0027051,0,Disease or Syndrome,Myocardial Infarction,MI,20050610
C0027051,1,Disease or Syndrome,Myocardial infarction,심근경색,20070305
C0027051,2,Disease or Syndrome,Myocardial Infarction,MI - Myocardial infarction,20070305
C0027051,3,Disease or Syndrome,Myocardial Infarction,"Infarction, Myocardium",20070305
C0027051,4,Disease or Syndrome,Myocardial Infarction,Myocardial infarction (disorder),20070305
C0027059,0,Disease or Syndrome,Myocarditis,심장근육염,20070305
C0027066,0,Sign or Symptom,Myoclonus,"Jerk, Myoclonic",20070305
C0027066,1,Sign or Symptom,Myoclonus,"jerky movement, myoclonic",20070305
C0027066,2,Sign or Symptom,Myoclonus,"Movement, Myoclonic",20070305
C0027066,3,Sign or Symptom,Myoclonus,"Movement, Clonic, Paroxysmal",20070305
C0027066,4,Sign or Symptom,Myoclonus,myoclonus aggavation,20070305
C0027066,5,Sign or Symptom,Myoclonus,Myoclonus (finding),20070305
C0027066,6,Sign or Symptom,Myoclonus,Propriospinal Myoclonus,20070305
C0027066,7,Sign or Symptom,Myoclonus,"Spasm, Myoclonic",20070305
C0027066,8,Sign or Symptom,Myoclonus,Myoclonic,20070305
C0027080,0,Finding,Myoglobinuria,Myoglobulinuria,20070305
C0027086,0,Neoplastic Process,Myoma,"Myoma, no ICD-O subtype (morphologic abnormality)",20070305
C0027086,1,Neoplastic Process,Myoma,for myoma,20070305
C0027086,2,Neoplastic Process,Myoma,for evaluation of myoma,20070305
C0027086,3,Neoplastic Process,Myoma,for evaluation myoma,20070305
C0027086,4,Neoplastic Process,Myoma,for evaluation about known myoma,20070305
C0027088,0,"Body Part, Organ, or Organ Component",Myometrium,자궁근층,20070305
C0027121,0,Disease or Syndrome,Myositis,Inflammatory Myopathy,20070305
C0027125,0,Finding,Myotonia,근강직증,20070305
